workerid,A,B,percent,read_and_decide_time,quant,read_time_one,response
0,"""jallem""","""sildal""",70,488,"""Most""",497,true
0,"""clidge""","""hensly""",27,1711,"""Most""",399,false
0,"""puctor""","""recure""",67,608,"""Few""",543,false
0,"""isbant""","""unairs""",62,904,"""Most""",414,false
0,"""boddle""","""molill""",85,1112,"""Fewer than half""",428,false
0,"""puggle""","""entand""",30,1143,"""Most""",392,false
0,"""bameta""","""unzast""",92,1090,"""Many""",742,true
0,"""sporer""","""firtly""",33,1488,"""More than half""",975,false
0,"""dorder""","""coggon""",90,1272,"""Fewer than half""",736,false
0,"""werner""","""hurmer""",96,895,"""Many""",680,true
0,"""chevel""","""podden""",72,672,"""Most""",560,false
0,"""chulks""","""vulhor""",20,1066,"""Fewer than half""",9545,true
0,"""shamer""","""bloifs""",2,470,"""Most""",551,false
0,"""fleeve""","""scalfs""",44,1102,"""Fewer than half""",527,true
0,"""ingell""","""nalill""",96,601,"""Fewer than half""",800,false
0,"""raster""","""movell""",13,656,"""Few""",1193,true
0,"""kustle""","""reshix""",23,1032,"""Few""",928,true
0,"""middor""","""drooty""",85,500,"""Many""",648,true
0,"""chadop""","""shaple""",79,743,"""More than half""",7783,true
0,"""pobbit""","""spippy""",11,465,"""Few""",448,true
0,"""spunge""","""wenple""",11,545,"""Fewer than half""",520,true
0,"""pluset""","""stubad""",58,1447,"""Many""",513,true
0,"""gukbar""","""soarse""",1,511,"""Fewer than half""",455,true
0,"""boddle""","""molill""",21,672,"""More than half""",447,false
0,"""puctor""","""recure""",65,736,"""Fewer than half""",489,false
0,"""raster""","""movell""",37,761,"""Many""",495,false
0,"""shamer""","""bloifs""",1,584,"""Few""",457,true
0,"""cosutz""","""spover""",3,655,"""Most""",503,false
0,"""werner""","""hurmer""",24,623,"""Fewer than half""",472,true
0,"""pengyl""","""sedest""",23,3304,"""Most""",528,false
0,"""werner""","""hurmer""",85,599,"""More than half""",583,true
0,"""shurry""","""preser""",36,1856,"""Fewer than half""",1041,true
0,"""fleeve""","""scalfs""",33,623,"""Most""",926,false
0,"""mecket""","""plumry""",53,558,"""Few""",1321,false
0,"""isbant""","""unairs""",40,1272,"""Few""",1001,false
0,"""chulks""","""vulhor""",89,480,"""More than half""",560,true
0,"""spunge""","""wenple""",26,616,"""Many""",496,false
0,"""kustle""","""reshix""",62,577,"""Many""",425,true
0,"""tecker""","""biller""",67,518,"""Most""",473,false
0,"""devole""","""sholly""",57,640,"""Most""",400,false
0,"""chevel""","""podden""",98,616,"""Few""",672,false
0,"""chadop""","""shaple""",40,1294,"""Fewer than half""",1222,true
0,"""hadder""","""ollidy""",31,905,"""Most""",630,false
0,"""ingell""","""nalill""",1,466,"""More than half""",536,false
0,"""bemble""","""squank""",53,1712,"""Fewer than half""",673,false
0,"""werner""","""hurmer""",80,857,"""Few""",1888,false
0,"""pluset""","""stubad""",96,472,"""Most""",440,true
0,"""mecket""","""plumry""",83,520,"""Many""",412,true
0,"""pliper""","""sesare""",59,1023,"""Many""",472,true
0,"""beckel""","""racual""",43,470,"""Most""",496,false
0,"""chadop""","""shaple""",36,505,"""Most""",375,false
0,"""cosutz""","""spover""",48,921,"""Many""",481,true
0,"""mecket""","""plumry""",48,1143,"""Most""",600,false
0,"""ancits""","""smeath""",96,553,"""More than half""",4544,true
0,"""hadder""","""ollidy""",51,944,"""More than half""",11703,true
0,"""padnet""","""fanely""",23,656,"""Few""",1270,true
0,"""ancits""","""smeath""",62,1465,"""Many""",625,true
0,"""coamin""","""mucond""",67,576,"""More than half""",471,true
0,"""menner""","""nandow""",75,887,"""Fewer than half""",599,false
0,"""coamin""","""mucond""",32,1088,"""Few""",631,false
0,"""pliper""","""sesare""",31,569,"""More than half""",656,false
0,"""mecket""","""plumry""",65,649,"""More than half""",592,true
0,"""coppar""","""hunene""",88,537,"""Most""",577,true
0,"""schook""","""jabant""",61,503,"""More than half""",592,true
0,"""awplor""","""fasees""",98,489,"""Fewer than half""",656,false
0,"""bameta""","""unzast""",35,529,"""More than half""",529,false
0,"""hadder""","""ollidy""",27,1624,"""Fewer than half""",688,true
0,"""spunge""","""wenple""",27,1249,"""Few""",926,true
0,"""raster""","""movell""",60,1079,"""Fewer than half""",2231,false
0,"""strant""","""potind""",69,472,"""Few""",712,false
0,"""tecker""","""biller""",98,527,"""Many""",744,true
0,"""strant""","""potind""",30,649,"""Many""",616,false
0,"""cather""","""funder""",22,639,"""More than half""",778,false
0,"""cosutz""","""spover""",88,1008,"""Few""",6640,false
0,"""zetten""","""unfobs""",39,497,"""Most""",487,false
0,"""puggle""","""entand""",92,551,"""Many""",448,true
0,"""pirter""","""secent""",7,552,"""More than half""",489,false
0,"""middor""","""drooty""",35,839,"""Most""",529,false
0,"""ancits""","""smeath""",54,672,"""Few""",416,false
0,"""umpond""","""marire""",36,496,"""Many""",472,false
0,"""spunge""","""wenple""",29,503,"""Most""",456,false
0,"""tecker""","""biller""",30,816,"""Few""",455,true
0,"""kustle""","""reshix""",23,633,"""Fewer than half""",815,true
0,"""zetten""","""unfobs""",55,865,"""Few""",920,false
0,"""tecker""","""biller""",11,657,"""More than half""",592,false
0,"""shamer""","""bloifs""",30,545,"""Many""",607,false
0,"""puctor""","""recure""",2,495,"""More than half""",528,false
0,"""pengyl""","""sedest""",22,481,"""Fewer than half""",624,true
0,"""chevel""","""podden""",45,681,"""More than half""",496,false
0,"""beckel""","""racual""",42,496,"""Fewer than half""",656,true
0,"""russer""","""huttle""",67,495,"""Fewer than half""",503,false
0,"""pliper""","""sesare""",58,777,"""Fewer than half""",542,false
0,"""jallem""","""sildal""",55,688,"""Fewer than half""",591,false
0,"""chulks""","""vulhor""",65,560,"""Few""",433,false
0,"""boddle""","""molill""",65,703,"""Most""",503,false
0,"""devole""","""sholly""",86,559,"""Fewer than half""",456,false
0,"""awplor""","""fasees""",74,536,"""Most""",513,true
0,"""pengyl""","""sedest""",84,528,"""More than half""",672,true
0,"""puggle""","""entand""",97,488,"""More than half""",495,true
0,"""pobbit""","""spippy""",76,497,"""Fewer than half""",473,false
0,"""ingell""","""nalill""",66,521,"""Few""",767,false
0,"""chadop""","""shaple""",98,473,"""Few""",464,false
0,"""chevel""","""podden""",93,583,"""Fewer than half""",489,false
0,"""russer""","""huttle""",43,616,"""More than half""",407,false
0,"""tiklet""","""hullaw""",97,760,"""Few""",482,false
0,"""fleeve""","""scalfs""",21,622,"""Many""",423,false
0,"""kustle""","""reshix""",38,487,"""Most""",633,false
0,"""gukbar""","""soarse""",52,527,"""Many""",9303,false
0,"""menner""","""nandow""",60,584,"""Most""",415,false
0,"""umpond""","""marire""",71,593,"""Most""",560,true
0,"""isbant""","""unairs""",57,1177,"""Many""",480,true
0,"""birler""","""enciad""",47,455,"""More than half""",441,false
0,"""shrile""","""athoid""",84,816,"""Few""",559,false
0,"""schook""","""jabant""",46,1024,"""Most""",416,false
0,"""coppar""","""hunene""",90,976,"""Few""",505,false
0,"""pobbit""","""spippy""",3,503,"""Many""",472,false
0,"""cather""","""funder""",42,448,"""Many""",440,false
0,"""shrile""","""athoid""",37,520,"""Most""",480,false
0,"""awplor""","""fasees""",13,488,"""More than half""",513,false
0,"""pirter""","""secent""",52,735,"""Fewer than half""",471,false
0,"""middor""","""drooty""",37,1064,"""Few""",455,true
0,"""dorder""","""coggon""",9,512,"""More than half""",473,false
0,"""middor""","""drooty""",12,529,"""Fewer than half""",2410,true
0,"""dorder""","""coggon""",14,792,"""Many""",439,false
0,"""shrile""","""athoid""",81,592,"""More than half""",463,true
0,"""clidge""","""hensly""",36,944,"""Few""",400,true
0,"""boddle""","""molill""",54,632,"""Few""",480,false
0,"""tiklet""","""hullaw""",43,752,"""Fewer than half""",528,true
0,"""coppar""","""hunene""",64,513,"""Many""",1791,false
0,"""monter""","""melelt""",14,720,"""Fewer than half""",729,true
0,"""cather""","""funder""",57,457,"""Fewer than half""",449,false
0,"""strant""","""potind""",90,472,"""More than half""",465,true
0,"""monter""","""melelt""",43,928,"""Many""",416,true
0,"""sporer""","""firtly""",93,553,"""Most""",423,true
0,"""pirter""","""secent""",90,464,"""Most""",464,true
0,"""cosutz""","""spover""",38,1104,"""Fewer than half""",608,true
0,"""birler""","""enciad""",66,561,"""Few""",582,false
0,"""menner""","""nandow""",16,720,"""More than half""",639,false
0,"""shamer""","""bloifs""",94,624,"""More than half""",352,true
0,"""shurry""","""preser""",21,1248,"""Few""",375,true
0,"""chadop""","""shaple""",61,768,"""Many""",464,true
0,"""devole""","""sholly""",29,554,"""More than half""",352,false
0,"""tecker""","""biller""",59,799,"""Fewer than half""",443,false
0,"""fleeve""","""scalfs""",76,760,"""Few""",381,false
0,"""bemble""","""squank""",62,960,"""Many""",463,true
0,"""pluset""","""stubad""",40,553,"""More than half""",424,false
0,"""pirter""","""secent""",49,607,"""Many""",447,false
0,"""strant""","""potind""",11,623,"""Most""",413,false
0,"""monter""","""melelt""",71,607,"""More than half""",448,true
0,"""beckel""","""racual""",66,544,"""More than half""",415,true
0,"""shurry""","""preser""",68,511,"""More than half""",407,true
0,"""pobbit""","""spippy""",46,481,"""More than half""",415,false
0,"""russer""","""huttle""",63,639,"""Most""",441,false
0,"""beckel""","""racual""",27,688,"""Many""",633,true
0,"""mecket""","""plumry""",33,584,"""Fewer than half""",543,true
0,"""fleeve""","""scalfs""",93,975,"""More than half""",417,true
0,"""chulks""","""vulhor""",22,760,"""Most""",488,false
0,"""puggle""","""entand""",49,1336,"""Fewer than half""",833,false
0,"""cather""","""funder""",69,577,"""Most""",784,false
0,"""boddle""","""molill""",13,520,"""Many""",473,false
0,"""monter""","""melelt""",28,664,"""Few""",488,true
0,"""jallem""","""sildal""",72,552,"""Few""",441,false
0,"""devole""","""sholly""",75,599,"""Many""",424,true
0,"""ingell""","""nalill""",59,544,"""Most""",409,false
0,"""raster""","""movell""",84,711,"""Most""",407,true
0,"""puggle""","""entand""",67,1071,"""Few""",448,false
0,"""beckel""","""racual""",29,576,"""Few""",504,true
0,"""tiklet""","""hullaw""",52,1537,"""Many""",488,true
0,"""sporer""","""firtly""",87,561,"""Fewer than half""",537,false
0,"""strant""","""potind""",41,552,"""Fewer than half""",527,true
0,"""russer""","""huttle""",5,552,"""Many""",456,false
0,"""schook""","""jabant""",85,847,"""Many""",624,true
0,"""clidge""","""hensly""",88,632,"""Many""",872,true
0,"""chulks""","""vulhor""",87,528,"""Many""",663,true
0,"""menner""","""nandow""",73,545,"""Many""",512,true
0,"""sporer""","""firtly""",4,521,"""Many""",479,false
0,"""clidge""","""hensly""",92,783,"""More than half""",704,false
0,"""coppar""","""hunene""",73,1071,"""Fewer than half""",992,false
0,"""shrile""","""athoid""",39,1008,"""Fewer than half""",527,true
0,"""schook""","""jabant""",16,522,"""Fewer than half""",418,true
0,"""werner""","""hurmer""",34,520,"""Most""",505,false
0,"""birler""","""enciad""",58,720,"""Most""",441,false
0,"""bameta""","""unzast""",18,1568,"""Few""",840,true
0,"""schook""","""jabant""",98,791,"""Few""",1473,false
0,"""birler""","""enciad""",56,712,"""Fewer than half""",856,false
0,"""coppar""","""hunene""",28,704,"""More than half""",1471,false
0,"""menner""","""nandow""",4,1047,"""Few""",1144,true
0,"""zetten""","""unfobs""",26,1168,"""Many""",343,false
0,"""pliper""","""sesare""",86,1369,"""Most""",378,true
0,"""cather""","""funder""",76,656,"""Few""",272,false
0,"""pluset""","""stubad""",65,712,"""Few""",344,false
0,"""umpond""","""marire""",70,608,"""Fewer than half""",496,false
0,"""puctor""","""recure""",89,672,"""Most""",352,true
0,"""awplor""","""fasees""",11,576,"""Many""",312,false
0,"""devole""","""sholly""",37,720,"""Few""",385,true
0,"""puctor""","""recure""",77,520,"""Many""",368,true
0,"""pengyl""","""sedest""",72,777,"""Few""",128,false
0,"""umpond""","""marire""",38,494,"""More than half""",903,false
0,"""tiklet""","""hullaw""",7,816,"""Most""",504,false
0,"""raster""","""movell""",26,672,"""More than half""",569,false
0,"""russer""","""huttle""",40,528,"""Few""",649,false
0,"""pobbit""","""spippy""",56,503,"""Most""",536,false
0,"""chevel""","""podden""",26,1128,"""Many""",481,false
0,"""gukbar""","""soarse""",55,496,"""More than half""",552,true
0,"""bameta""","""unzast""",79,585,"""Fewer than half""",719,false
0,"""shamer""","""bloifs""",3,608,"""Fewer than half""",440,true
0,"""ancits""","""smeath""",17,712,"""Fewer than half""",503,true
0,"""isbant""","""unairs""",10,535,"""More than half""",529,false
0,"""dorder""","""coggon""",97,625,"""Few""",447,false
0,"""zetten""","""unfobs""",58,626,"""More than half""",528,true
0,"""pirter""","""secent""",46,529,"""Few""",408,false
0,"""bemble""","""squank""",8,672,"""Few""",505,true
0,"""gukbar""","""soarse""",22,513,"""Few""",447,true
0,"""padnet""","""fanely""",89,568,"""Fewer than half""",423,false
0,"""kustle""","""reshix""",64,561,"""More than half""",462,true
0,"""bameta""","""unzast""",54,543,"""Most""",352,false
0,"""jallem""","""sildal""",5,640,"""Many""",487,false
1,"""glerb""","""fizzda""",20,6432,"""All""",2888,false
1,"""thonk""","""krangly""",82,2089,"""Some""",1821,true
1,"""slarm""","""briddle""",11,1592,"""None""",1975,true
1,"""klong""","""nooty""",62,1177,"""All""",3400,true
1,"""dring""","""larfy""",28,1168,"""None""",982,true
1,"""floom""","""plerful""",92,951,"""Some""",1061,false
1,"""blek""","""orkital""",54,1007,"""None""",871,true
1,"""tenk""","""glurgy""",8,800,"""All""",857,true
1,"""pluset""","""stubad""",56,790,"""Many""",1567,false
1,"""ingell""","""nalill""",92,699,"""More than half""",1383,false
1,"""puggle""","""entand""",44,1616,"""Few""",1246,false
1,"""coppar""","""hunene""",16,655,"""Most""",902,true
1,"""tiklet""","""hullaw""",39,593,"""More than half""",911,true
1,"""bameta""","""unzast""",67,1306,"""Many""",935,false
1,"""ancits""","""smeath""",61,815,"""Few""",655,true
1,"""middor""","""drooty""",48,672,"""Fewer than half""",765,false
1,"""zetten""","""unfobs""",41,729,"""More than half""",632,true
1,"""coamin""","""mucond""",7,672,"""Fewer than half""",720,true
1,"""middor""","""drooty""",3,1129,"""More than half""",895,true
1,"""sporer""","""firtly""",58,1119,"""Fewer than half""",960,true
1,"""puctor""","""recure""",71,1137,"""More than half""",215,false
1,"""cather""","""funder""",97,576,"""Many""",600,false
1,"""monter""","""melelt""",93,577,"""Most""",598,false
1,"""clidge""","""hensly""",21,633,"""Fewer than half""",1128,false
1,"""devole""","""sholly""",64,1119,"""More than half""",896,false
1,"""shrile""","""athoid""",11,680,"""Few""",878,false
1,"""coppar""","""hunene""",84,616,"""Fewer than half""",719,true
1,"""schook""","""jabant""",59,679,"""Many""",1097,false
1,"""hadder""","""ollidy""",49,1248,"""Fewer than half""",799,false
1,"""coppar""","""hunene""",72,1047,"""More than half""",783,false
1,"""cather""","""funder""",1,1992,"""Most""",825,true
1,"""puggle""","""entand""",42,2217,"""Fewer than half""",1134,true
1,"""pirter""","""secent""",81,968,"""Fewer than half""",558,true
1,"""chevel""","""podden""",19,760,"""Most""",625,true
1,"""werner""","""hurmer""",27,736,"""More than half""",558,true
1,"""puggle""","""entand""",83,672,"""Many""",664,false
1,"""zetten""","""unfobs""",73,473,"""Many""",455,false
1,"""coamin""","""mucond""",20,704,"""More than half""",446,true
1,"""pengyl""","""sedest""",11,744,"""More than half""",207,true
1,"""coppar""","""hunene""",97,1151,"""Few""",464,true
1,"""tecker""","""biller""",32,1096,"""Many""",231,true
1,"""kustle""","""reshix""",5,609,"""Few""",511,true
1,"""werner""","""hurmer""",72,1000,"""Many""",606,false
1,"""bameta""","""unzast""",82,495,"""More than half""",663,false
1,"""tecker""","""biller""",43,456,"""Most""",598,false
1,"""shurry""","""preser""",3,680,"""Many""",526,true
1,"""pobbit""","""spippy""",95,520,"""More than half""",504,false
1,"""ingell""","""nalill""",13,599,"""Most""",510,true
1,"""cosutz""","""spover""",32,728,"""Fewer than half""",512,false
1,"""boddle""","""molill""",64,673,"""Many""",464,false
1,"""pliper""","""sesare""",92,760,"""Few""",488,true
1,"""devole""","""sholly""",61,663,"""Fewer than half""",665,true
1,"""padnet""","""fanely""",6,560,"""Few""",550,false
1,"""menner""","""nandow""",2,866,"""Most""",528,true
1,"""pirter""","""secent""",94,520,"""Many""",487,false
1,"""menner""","""nandow""",90,920,"""Few""",528,true
1,"""awplor""","""fasees""",57,823,"""Fewer than half""",543,true
1,"""boddle""","""molill""",83,650,"""Fewer than half""",472,true
1,"""werner""","""hurmer""",24,616,"""Fewer than half""",528,false
1,"""pengyl""","""sedest""",44,799,"""Few""",511,true
1,"""puctor""","""recure""",38,840,"""Few""",184,false
1,"""menner""","""nandow""",65,719,"""More than half""",543,false
1,"""chulks""","""vulhor""",79,602,"""Most""",509,false
1,"""coppar""","""hunene""",54,762,"""Many""",487,false
1,"""pluset""","""stubad""",98,680,"""Fewer than half""",551,true
1,"""spunge""","""wenple""",91,487,"""Most""",535,false
1,"""padnet""","""fanely""",69,431,"""Many""",527,false
1,"""chadop""","""shaple""",78,537,"""Most""",503,false
1,"""shamer""","""bloifs""",42,736,"""More than half""",545,true
1,"""shamer""","""bloifs""",31,824,"""Few""",463,false
1,"""jallem""","""sildal""",3,688,"""Most""",527,true
1,"""isbant""","""unairs""",85,879,"""Fewer than half""",2279,true
1,"""hadder""","""ollidy""",84,864,"""Most""",582,false
1,"""monter""","""melelt""",8,681,"""Many""",488,true
1,"""padnet""","""fanely""",91,559,"""More than half""",456,false
1,"""chadop""","""shaple""",81,632,"""Few""",623,true
1,"""tecker""","""biller""",62,585,"""Few""",1192,true
1,"""chevel""","""podden""",76,665,"""Fewer than half""",600,true
1,"""jallem""","""sildal""",86,592,"""More than half""",471,false
1,"""schook""","""jabant""",40,521,"""Fewer than half""",487,false
1,"""awplor""","""fasees""",70,569,"""More than half""",519,false
1,"""pengyl""","""sedest""",29,841,"""Fewer than half""",488,false
1,"""birler""","""enciad""",54,543,"""More than half""",407,false
1,"""chevel""","""podden""",27,679,"""Few""",472,false
1,"""fleeve""","""scalfs""",98,888,"""Many""",463,true
1,"""zetten""","""unfobs""",76,1448,"""Few""",519,true
1,"""russer""","""huttle""",48,2328,"""Most""",527,true
1,"""tiklet""","""hullaw""",20,599,"""Fewer than half""",535,false
1,"""zetten""","""unfobs""",34,649,"""Fewer than half""",568,false
1,"""birler""","""enciad""",12,912,"""Most""",502,true
1,"""kustle""","""reshix""",1,919,"""More than half""",528,true
1,"""mecket""","""plumry""",65,592,"""Most""",712,false
1,"""puggle""","""entand""",44,744,"""More than half""",520,true
1,"""cather""","""funder""",53,2192,"""Few""",495,true
1,"""raster""","""movell""",20,688,"""Most""",568,true
1,"""middor""","""drooty""",95,513,"""Many""",535,false
1,"""boddle""","""molill""",15,623,"""Most""",607,true
1,"""umpond""","""marire""",8,11050,"""Most""",840,true
1,"""dorder""","""coggon""",21,600,"""Many""",647,true
1,"""zetten""","""unfobs""",82,521,"""Most""",600,false
1,"""werner""","""hurmer""",87,528,"""Most""",568,false
1,"""chadop""","""shaple""",46,584,"""Fewer than half""",543,false
1,"""sporer""","""firtly""",93,728,"""More than half""",824,false
1,"""shrile""","""athoid""",37,512,"""Fewer than half""",535,false
1,"""bemble""","""squank""",38,592,"""Most""",448,true
1,"""fleeve""","""scalfs""",64,615,"""Most""",448,false
1,"""spunge""","""wenple""",16,625,"""Few""",352,false
1,"""sporer""","""firtly""",5,664,"""Most""",231,true
1,"""fleeve""","""scalfs""",21,544,"""Few""",344,false
1,"""shurry""","""preser""",49,832,"""More than half""",399,true
1,"""dorder""","""coggon""",64,688,"""Fewer than half""",399,false
1,"""ancits""","""smeath""",60,535,"""Most""",287,false
1,"""umpond""","""marire""",4,608,"""Many""",264,true
1,"""pirter""","""secent""",18,1351,"""Most""",374,true
1,"""fleeve""","""scalfs""",10,927,"""Fewer than half""",527,false
1,"""tiklet""","""hullaw""",47,687,"""Many""",297,false
1,"""mecket""","""plumry""",57,672,"""Many""",624,false
1,"""ingell""","""nalill""",56,633,"""Fewer than half""",512,false
1,"""strant""","""potind""",6,631,"""Many""",798,true
1,"""russer""","""huttle""",51,1576,"""Fewer than half""",557,true
1,"""middor""","""drooty""",87,689,"""Few""",415,true
1,"""spunge""","""wenple""",28,902,"""Fewer than half""",471,false
1,"""gukbar""","""soarse""",22,529,"""Fewer than half""",663,false
1,"""shurry""","""preser""",70,544,"""Most""",608,false
1,"""coamin""","""mucond""",95,855,"""Many""",535,false
1,"""dorder""","""coggon""",78,537,"""More than half""",688,false
1,"""shamer""","""bloifs""",5,656,"""Fewer than half""",615,false
1,"""kustle""","""reshix""",92,744,"""Many""",768,false
1,"""raster""","""movell""",6,855,"""Many""",590,true
1,"""cosutz""","""spover""",5,696,"""More than half""",671,true
1,"""werner""","""hurmer""",5,751,"""Few""",613,false
1,"""umpond""","""marire""",53,754,"""Few""",494,true
1,"""spunge""","""wenple""",64,551,"""Many""",5841,false
1,"""beckel""","""racual""",26,1801,"""Fewer than half""",559,false
1,"""schook""","""jabant""",88,2975,"""Few""",528,true
1,"""schook""","""jabant""",69,872,"""Most""",519,false
1,"""pluset""","""stubad""",62,672,"""Few""",409,true
1,"""chulks""","""vulhor""",2,647,"""More than half""",399,true
1,"""gukbar""","""soarse""",68,535,"""Few""",463,true
1,"""clidge""","""hensly""",46,464,"""Many""",521,false
1,"""cosutz""","""spover""",91,609,"""Few""",583,true
1,"""hadder""","""ollidy""",92,617,"""Few""",456,true
1,"""puggle""","""entand""",51,560,"""Most""",481,false
1,"""birler""","""enciad""",1,736,"""Few""",440,false
1,"""birler""","""enciad""",71,752,"""Fewer than half""",527,true
1,"""clidge""","""hensly""",31,484,"""Few""",415,false
1,"""dorder""","""coggon""",64,559,"""Few""",424,true
1,"""raster""","""movell""",58,608,"""More than half""",551,false
1,"""devole""","""sholly""",57,784,"""Many""",576,false
1,"""chulks""","""vulhor""",1,761,"""Fewer than half""",550,false
1,"""clidge""","""hensly""",6,872,"""More than half""",695,true
1,"""mecket""","""plumry""",65,704,"""Few""",743,true
1,"""hadder""","""ollidy""",16,698,"""More than half""",535,true
1,"""shrile""","""athoid""",19,631,"""More than half""",502,true
1,"""jallem""","""sildal""",86,633,"""Few""",1462,true
1,"""coamin""","""mucond""",71,839,"""Most""",455,false
1,"""tiklet""","""hullaw""",98,456,"""Most""",399,false
1,"""pirter""","""secent""",20,594,"""Few""",343,false
1,"""puctor""","""recure""",30,801,"""Most""",352,true
1,"""strant""","""potind""",19,543,"""Fewer than half""",352,false
1,"""boddle""","""molill""",60,598,"""More than half""",287,false
1,"""mecket""","""plumry""",4,633,"""More than half""",303,true
1,"""tiklet""","""hullaw""",7,633,"""Few""",216,false
1,"""bemble""","""squank""",65,776,"""Many""",264,false
1,"""beckel""","""racual""",95,1247,"""Few""",183,true
1,"""ancits""","""smeath""",11,887,"""Fewer than half""",177,false
1,"""shurry""","""preser""",49,2584,"""Few""",423,false
1,"""schook""","""jabant""",36,905,"""More than half""",416,true
1,"""pluset""","""stubad""",49,850,"""Most""",393,true
1,"""isbant""","""unairs""",59,1026,"""More than half""",504,false
1,"""jallem""","""sildal""",72,514,"""Many""",400,false
1,"""tecker""","""biller""",65,696,"""Fewer than half""",400,true
1,"""ingell""","""nalill""",22,617,"""Few""",456,false
1,"""cather""","""funder""",53,689,"""More than half""",375,false
1,"""beckel""","""racual""",15,1016,"""Many""",376,true
1,"""jallem""","""sildal""",94,683,"""Fewer than half""",423,true
1,"""awplor""","""fasees""",83,840,"""Few""",360,false
1,"""pobbit""","""spippy""",88,623,"""Fewer than half""",543,true
1,"""padnet""","""fanely""",77,761,"""Fewer than half""",487,true
1,"""pobbit""","""spippy""",96,655,"""Few""",383,true
1,"""monter""","""melelt""",47,1753,"""Fewer than half""",378,true
1,"""cosutz""","""spover""",80,624,"""Many""",592,false
1,"""pliper""","""sesare""",82,448,"""Many""",440,false
1,"""birler""","""enciad""",38,664,"""Many""",440,true
1,"""awplor""","""fasees""",9,719,"""Most""",430,true
1,"""mecket""","""plumry""",23,552,"""Fewer than half""",360,false
1,"""devole""","""sholly""",32,777,"""Most""",416,false
1,"""puctor""","""recure""",75,600,"""Fewer than half""",240,true
1,"""raster""","""movell""",66,1000,"""Fewer than half""",470,true
1,"""shurry""","""preser""",39,5648,"""Fewer than half""",767,false
1,"""ancits""","""smeath""",43,871,"""More than half""",462,true
1,"""chadop""","""shaple""",22,712,"""More than half""",407,true
1,"""shamer""","""bloifs""",68,881,"""Most""",472,false
1,"""umpond""","""marire""",93,616,"""Fewer than half""",335,true
1,"""pluset""","""stubad""",52,680,"""More than half""",511,false
1,"""chulks""","""vulhor""",45,776,"""Many""",271,true
1,"""bemble""","""squank""",60,2240,"""Fewer than half""",176,true
1,"""chevel""","""podden""",28,849,"""Many""",496,true
1,"""beckel""","""racual""",77,1078,"""Most""",255,false
1,"""gukbar""","""soarse""",32,647,"""More than half""",464,true
1,"""bemble""","""squank""",26,841,"""Few""",449,false
1,"""shamer""","""bloifs""",67,1775,"""Many""",487,false
1,"""spunge""","""wenple""",15,553,"""More than half""",470,true
1,"""isbant""","""unairs""",1,624,"""Many""",464,true
1,"""coamin""","""mucond""",51,833,"""Few""",471,true
1,"""shrile""","""athoid""",88,487,"""Most""",432,false
